2026-01-29 14:18:38 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:22:53 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:25:39 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:26:29 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:27:05 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:27:19 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:32:11 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:32:26 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:32:28 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading ENABLED
2026-01-29 14:32:29 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:32:31 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading ENABLED
2026-01-29 14:32:34 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:03 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:29 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:46 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:46 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:48 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:49 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:50 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:37:54 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:46:53 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:49:33 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:49:42 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 14:55:57 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:01:12 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:01:13 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:01:25 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:01:25 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:10:41 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:10:41 | web.components.timeframe_screen | ERROR    | render:46 | Kline fetch failed for 15m: module 'ccxt' has no attribute 'huobipro'
2026-01-29 15:10:48 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
2026-01-29 15:10:48 | core.exchange.huobi_executor | INFO     | toggle_live:133 | Live trading DISABLED
